id,video_id,title,thumbnail_url,published_at,is_live,updated_at
142,7jMTMgYrXOY,Pembukaan Pelatihan Petugas Longform SP2020,https://i.ytimg.com/vi/7jMTMgYrXOY/hqdefault.jpg,2022-05-11 14:40:41+00,false,2026-09-02 08:57:00.013535+00
143,pUUUeHUG9CM,BPS Kota Malang&#39;s Zoom Meeting,https://i.ytimg.com/vi/pUUUeHUG9CM/hqdefault.jpg,2022-05-09 18:28:34+00,false,2026-09-02 08:57:00.013535+00
144,4aIeMObWCIk,RILIS BERITA RESMI STATISTIK KOTA MALANG,https://i.ytimg.com/vi/4aIeMObWCIk/hqdefault.jpg,2022-04-01 18:36:07+00,false,2026-09-02 08:57:00.013535+00
145,V9sBz-1s3vY,Peresmian Pojok Statistik &amp; Kuliah Umum di Universitas Brawijaya,https://i.ytimg.com/vi/V9sBz-1s3vY/hqdefault.jpg,2022-03-21 06:03:16+00,false,2026-09-02 08:57:00.013535+00
146,k5fQey6rJIE,Rilis Data Strategis Kota Malang Maret 2022,https://i.ytimg.com/vi/k5fQey6rJIE/hqdefault.jpg,2022-03-01 18:53:47+00,false,2026-09-02 08:57:00.013535+00
147,BGwfRgCjQ-I,BPS Kota Malang&#39;s Zoom Meeting,https://i.ytimg.com/vi/BGwfRgCjQ-I/hqdefault.jpg,2022-02-02 18:31:38+00,false,2026-09-02 08:57:00.013535+00
148,wBoywfIghss,Rilis Berita Resmi Statistik : Inflasi Kota Malang Desember 2021,https://i.ytimg.com/vi/wBoywfIghss/hqdefault.jpg,2022-01-03 18:34:21+00,false,2026-09-02 08:57:00.013535+00
149,V7TBY-_KAPs,"Rilis Berita Resmi Statistik , 1 Desember 2021",https://i.ytimg.com/vi/V7TBY-_KAPs/hqdefault.jpg,2021-12-01 18:34:15+00,false,2026-09-02 08:57:00.013535+00
150,sEGd00sGs8Y,RILIS BERITA RESMI STATISTIK : Inflasi Bulan Oktober 2021,https://i.ytimg.com/vi/sEGd00sGs8Y/hqdefault.jpg,2021-11-01 18:24:18+00,false,2026-09-02 08:57:00.013535+00
151,pJ32pd3Bg4I,Rilis Berita Resmi Statistik : Inflasi Kota Malang September 2021,https://i.ytimg.com/vi/pJ32pd3Bg4I/hqdefault.jpg,2021-10-01 18:34:30+00,false,2026-09-02 08:57:00.013535+00
152,9YnZvwQhpH0,Rilis Berita Resmi Statistik : Inflasi Kota Malang Agustus 2021,https://i.ytimg.com/vi/9YnZvwQhpH0/hqdefault.jpg,2021-09-01 18:25:35+00,false,2026-09-02 08:57:00.013535+00
153,l6b1duxrIv8,Rilis Berita Resmi Statistik : Inflasi Kota Malang Juli 2021,https://i.ytimg.com/vi/l6b1duxrIv8/hqdefault.jpg,2021-08-02 18:33:39+00,false,2026-09-02 08:57:00.013535+00
685,CpPvOW-cF5Y,Rilis Pers Berita Resmi Statistik September 2026,https://i.ytimg.com/vi/CpPvOW-cF5Y/hqdefault.jpg,2026-09-01 06:15:28+00,false,2026-09-02 08:57:00.013535+00
